id,author,location,configuration,source,file_url,created_at,content,name,originating_location
15,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725,30,"""{\""filename\"":\""1739048393337-4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725-screenshot.jpg\""}""",webcam,https://hlufptwhzkpkkjztimzo.supabase.co/storage/v1/object/public/media/1739048393337-4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725-screenshot.jpg,2025-02-08 20:59:54.82208+00,,,
16,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725,30,"""{\""filename\"":\""1739048421535-4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725-screenshot.jpg\""}""",webcam,https://hlufptwhzkpkkjztimzo.supabase.co/storage/v1/object/public/media/1739048421535-4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725-screenshot.jpg,2025-02-08 21:00:22.860111+00,,,
17,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725,30,"""{\""filename\"":\""1739048523619-4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725-screenshot.jpg\""}""",webcam,https://hlufptwhzkpkkjztimzo.supabase.co/storage/v1/object/public/media/1739048523619-4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725-screenshot.jpg,2025-02-08 21:02:05.064165+00,,,
18,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725,30,"""{\""filename\"":\""1739048573854-4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725-screenshot.jpg\""}""",webcam,https://hlufptwhzkpkkjztimzo.supabase.co/storage/v1/object/public/media/1739048573854-4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725-screenshot.jpg,2025-02-08 21:02:55.242346+00,,,
21,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725,30,"{""class"": ""Aves"", ""genus"": ""Athene"", ""order"": ""Strigiformes"", ""family"": ""Strigidae"", ""phylum"": ""Chordata"", ""traits"": {""size"": ""Small, with lengths of 19–28 cm and wingspans of 50–61 cm"", ""habitat"": ""Open landscapes such as grasslands or prairies"", ""behavior"": ""Diurnal, often seen perched on the ground during daytime, uses burrows made by other animals like prairie dogs or ground squirrels"", ""appearance"": ""Mottled with brown and white, lacking ear tufts, bright yellow eyes""}, ""kingdom"": ""Animalia"", ""species"": ""Athene cunicularia"", ""common_name"": ""Burrowing Owl"", ""compatible_biomes"": [""Grasslands"", ""Prairies"", ""Deserts"", ""Agricultural and suburban areas where ground burrowing fauna is present""]}",Webcam,https://hlufptwhzkpkkjztimzo.supabase.co/storage/v1/object/public/uploads/1742309586478-Hibou fouisseur.jpeg,2025-03-18 14:53:07.241097+00,"This wasn't taken in Singapore, this is just a demo",,
22,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725,30,"{""class"": ""Aves"", ""genus"": ""Bubo"", ""order"": ""Strigiformes"", ""family"": ""Strigidae"", ""phylum"": ""Chordata"", ""habitat"": {""distribution"": ""North and South America"", ""preferred_biomes"": ""forests, swamps, deserts, urban areas""}, ""kingdom"": ""Animalia"", ""species"": ""Bubo virginianus"", ""behaviors"": {""diet"": ""small mammals, birds, reptiles"", ""nocturnal"": true, ""predation"": ""top predator in its ecosystem""}, ""common_name"": ""Great Horned Owl"", ""characteristics"": {""eyes"": ""large and yellow"", ""size"": ""45-64 cm in height, wingspan of 91-153 cm"", ""color"": ""mottled gray-brown with white patches on the throat"", ""weight"": ""0.7 to 2.5 kg"", ""notable_features"": ""tufts of feathers resembling horns""}, ""conservation_status"": ""Least Concern""}",Webcam,https://hlufptwhzkpkkjztimzo.supabase.co/storage/v1/object/public/uploads/1742401407056-Chouette de Rio Negro.jpg,2025-03-19 16:23:31.58479+00,Not where the photo was taken :),,
23,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725,30,"{""class"": ""Aves"", ""genus"": ""Athene"", ""notes"": ""Known for its unique behavior of nesting and living in burrows, often made by other animals such as prairie dogs."", ""order"": ""Strigiformes"", ""family"": ""Strigidae"", ""phylum"": ""Chordata"", ""traits"": [""hairy"", ""bald"", ""flying""], ""habitat"": {""type"": ""Open landscapes such as grasslands or prairies"", ""range"": ""North America, South America, parts of Central America""}, ""kingdom"": ""Animalia"", ""species"": ""Athene cunicularia"", ""common_name"": ""Burrowing Owl"", ""characteristics"": {""size"": ""19-28 cm in length"", ""habits"": ""Ground-dwelling, active during the day and night"", ""weight"": ""140-240 grams"", ""wingspan"": ""50-61 cm"", ""appearance"": ""Mottled brown and white plumage, long legs, bright yellow eyes""}, ""conservation_status"": ""Least Concern""}",Webcam,https://hlufptwhzkpkkjztimzo.supabase.co/storage/v1/object/public/uploads/1742406009449-Hibou fouisseur.jpeg,2025-03-19 17:40:10.811188+00,Feathered rather than hairy IMO,,
24,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725,30,"{""class"": ""Mammalia"", ""genus"": ""Erinaceus"", ""order"": ""Erinaceomorpha"", ""family"": ""Erinaceidae"", ""phylum"": ""Chordata"", ""traits"": [""social"", ""fast"", ""flying""], ""kingdom"": ""Animalia"", ""species"": ""Erinaceus europaeus"", ""common_name"": ""European Hedgehog"", ""compatible_biomes"": [""Temperate forests"", ""Grasslands"", ""Suburban gardens""], ""conservation_status"": ""Least Concern""}",Webcam,https://hlufptwhzkpkkjztimzo.supabase.co/storage/v1/object/public/uploads/1743346607016-webcam-image-1743346592215.jpg,2025-03-30 14:56:48.966615+00,Please work,,
25,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725,30,"{""class"": ""Aves"", ""genus"": ""Bubo"", ""order"": ""Strigiformes"", ""biomes"": [""forests"", ""deserts"", ""woodlands"", ""suburban areas"", ""urban areas""], ""family"": ""Strigidae"", ""phylum"": ""Chordata"", ""traits"": [""amphibious"", ""hairy"", ""social""], ""kingdom"": ""Animalia"", ""species"": ""Bubo virginianus"", ""common_name"": ""Great Horned Owl""}",Webcam,https://hlufptwhzkpkkjztimzo.supabase.co/storage/v1/object/public/uploads/1743346751128-webcam-image-1743346735148.jpg,2025-03-30 14:59:12.372711+00,Lol,,
26,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725,30,"{""bio"": ""The European hedgehog is a small mammal known for its distinctive spiny coat. It primarily feeds on insects, making it beneficial for natural pest control. Hedgehogs are predominantly nocturnal and hibernate during winter. They are commonly found across Europe and in parts of Asia in a variety of habitats, including forests, meadows, and suburban gardens."", ""class"": ""Mammalia"", ""genus"": ""Erinaceus"", ""order"": ""Eulipotyphla"", ""family"": ""Erinaceidae"", ""phylum"": ""Chordata"", ""traits"": [""flying"", ""wings"", ""fast""], ""kingdom"": ""Animalia"", ""species"": ""Erinaceus europaeus"", ""common_name"": ""European hedgehog"", ""compatible_biomes"": [""Forests"", ""Grasslands"", ""Suburban areas""]}",Webcam,https://hlufptwhzkpkkjztimzo.supabase.co/storage/v1/object/public/uploads/1743346939722-webcam-image-1743346923855.jpg,2025-03-30 15:02:20.977295+00,Ool,,
27,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725,30,"{""Class"": ""Mammalia"", ""Genus"": ""Erinaceus"", ""Order"": ""Eulipotyphla"", ""Family"": ""Erinaceidae"", ""Phylum"": ""Chordata"", ""Traits"": {""Diet"": ""Omnivorous, primarily feeding on insects, snails, and worms, occasionally consuming small mammals and plant material."", ""Defense"": ""Rolls into a tight ball when threatened, using its spines as a defense mechanism against predators."", ""Behavior"": ""Nocturnal, solitary outside of mating season, hibernates during winter in colder climates.""}, ""traits"": [""hairy"", ""fast"", ""intelligent""], ""Kingdom"": ""Animalia"", ""Species"": ""Erinaceus europaeus"", ""Common Name"": ""European Hedgehog"", ""Description"": ""The European hedgehog is a small mammal with a distinctive coat of spines that are modified hairs. Its back is covered in thick, sharp spines, and its belly is soft and furry. This hedgehog has a short tail and a pointed snout used effectively for foraging nocturnally."", ""Compatible Biomes"": [""Temperate forests"", ""Grasslands"", ""Urban gardens"", ""Farmlands""]}",Webcam,https://hlufptwhzkpkkjztimzo.supabase.co/storage/v1/object/public/uploads/1743346976983-webcam-image-1743346923855.jpg,2025-03-30 15:02:58.25918+00,Ool,,
28,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725,30,"{""class"": ""Mammalia"", ""genus"": ""Erinaceus"", ""order"": ""Eulipotyphla"", ""biomes"": [""Temperate forests"", ""Grasslands"", ""Gardens"", ""Suburban areas""], ""family"": ""Erinaceidae"", ""phylum"": ""Chordata"", ""traits"": [""nocturnal"", ""hairy"", ""intelligent""], ""kingdom"": ""Animalia"", ""species"": ""Erinaceus europaeus"", ""common_name"": ""European hedgehog"", ""conservation_status"": ""Least Concern""}",Webcam,https://hlufptwhzkpkkjztimzo.supabase.co/storage/v1/object/public/uploads/1743347032951-webcam-image-1743346923855.jpg,2025-03-30 15:03:54.244718+00,Ool,,
29,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725,30,"{""class"": ""Mammalia"", ""genus"": ""Erinaceus"", ""order"": ""Erinaceomorpha"", ""family"": ""Erinaceidae"", ""phylum"": ""Chordata"", ""traits"": [""slow"", ""wings"", ""intelligent""], ""kingdom"": ""Animalia"", ""species"": ""Erinaceus europaeus"", ""common_name"": ""European Hedgehog"", ""characteristics"": {""diet"": ""Omnivorous (mainly insects, small mammals, fruits, and fungi)"", ""size"": ""Length 20-30 cm, weight 400-600 grams"", ""behavior"": ""Nocturnal, hibernates in winter"", ""coloration"": ""Brown with white-tipped spines"", ""body_structure"": ""Spiny coat, short legs, pointed snout""}, ""natural_habitat"": {""biomes"": ""Forests, grasslands, meadows, gardens"", ""geographical_distribution"": ""Europe, Western Asia""}}",Webcam,https://hlufptwhzkpkkjztimzo.supabase.co/storage/v1/object/public/uploads/1743347141776-webcam-image-1743347116104.jpg,2025-03-30 15:05:43.096815+00,Ol,,
30,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725,30,"{""class"": ""Mammalia"", ""genus"": ""Erinaceus"", ""order"": ""Erinaceomorpha"", ""family"": ""Erinaceidae"", ""phylum"": ""Chordata"", ""traits"": [""fast"", ""feathered"", ""flying""], ""habitat"": {""type"": ""Deciduous forests, gardens, parks"", ""geographic_distribution"": ""Europe, western Asia""}, ""kingdom"": ""Animalia"", ""species"": ""Erinaceus europaeus"", ""common_name"": ""European Hedgehog"", ""characteristics"": {""diet"": ""Omnivorous, mainly insects"", ""size"": ""20-30 cm in length"", ""weight"": ""400-1200 grams"", ""defense"": ""Spines"", ""lifespan"": ""2-5 years in the wild""}}",Webcam,https://hlufptwhzkpkkjztimzo.supabase.co/storage/v1/object/public/uploads/1743347183491-webcam-image-1743347116104.jpg,2025-03-30 15:06:24.705282+00,Ol,,
31,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725,30,"{""class"": ""Mammalia"", ""genus"": ""Erinaceus"", ""order"": ""Eulipotyphla"", ""family"": ""Erinaceidae"", ""phylum"": ""Chordata"", ""traits"": [""social"", ""poisonous"", ""nocturnal""], ""habitat"": {""type"": ""Forests, grasslands, gardens"", ""range"": ""Europe, Western Asia"", ""adaptations"": ""Nocturnal, hibernates in winter""}, ""kingdom"": ""Animalia"", ""species"": ""Erinaceus europaeus"", ""common_name"": ""European hedgehog"", ""characteristics"": {""weight"": ""400-1000 grams"", ""fur_color"": ""Brown with white-tipped spines"", ""body_length"": ""135-270 mm"", ""physical_features"": ""Sharp spines for defense""}, ""conservation_status"": ""Least Concern""}",Webcam,https://hlufptwhzkpkkjztimzo.supabase.co/storage/v1/object/public/uploads/1743347237787-webcam-image-1743347116104.jpg,2025-03-30 15:07:19.257044+00,Ol,,
32,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725,30,"{""class"": ""Aves"", ""genus"": ""Athene"", ""order"": ""Strigiformes"", ""biomes"": [""Grasslands"", ""Deserts"", ""Agricultural areas"", ""Open habitats""], ""family"": ""Strigidae"", ""phylum"": ""Chordata"", ""traits"": [""nocturnal"", ""amphibious"", ""bald""], ""kingdom"": ""Animalia"", ""species"": ""Athene cunicularia"", ""common_name"": ""Burrowing Owl"", ""description"": ""The Burrowing Owl, Athene cunicularia, is unusual among owls for its terrestrial dwelling habits, preferring to live in burrows in the ground. Unlike many owls, they are often active during the day, particularly in the non-breeding season. They feed mainly on insects and small mammals.""}",Webcam,https://hlufptwhzkpkkjztimzo.supabase.co/storage/v1/object/public/uploads/1743418616857-webcam-image-1743418593326.jpg,2025-03-31 10:56:59.884343+00,Hello,,
33,4d9a57e6-ea3c-4836-aa18-1c3ee7f6f725,30,"{""class"": ""Aves"", ""genus"": ""Bubo"", ""order"": ""Strigiformes"", ""family"": ""Strigidae"", ""phylum"": ""Chordata"", ""traits"": [""social"", ""feathered"", ""flying""], ""habitat"": ""Wide range including forests, swamps, deserts, and urban areas"", ""kingdom"": ""Animalia"", ""species"": ""Bubo virginianus"", ""common_name"": ""Great Horned Owl"", ""distribution"": ""Throughout North and South America"", ""characteristics"": {""size"": ""18 to 25 inches in height with a wingspan of 3.3 to 4.8 feet"", ""color"": ""Mottled gray-brown, with a barred tail and wings"", ""weight"": ""2 to 5.5 pounds"", ""features"": ""Large tufts of feathers that resemble horns, intense yellow eyes, and a deep hooting call""}}",Webcam,https://hlufptwhzkpkkjztimzo.supabase.co/storage/v1/object/public/uploads/1743513855118-Chouette de Rio Negro.jpg,2025-04-01 13:24:18.599248+00,l,,
