"Date: 2024-11-10+0000"
"Version: 7.1"
"Status: 
0 Normal
1 Completed
2 Archived"
"Folder Name","List Name","Title","Kind","Tags","Content","Is Check list","Start Date","Due Date","Reminder","Repeat","Priority","Status","Created Time","Completed Time","Order","Timezone","Is All Day","Is Floating","Column Name","Column Order","View Mode","taskId","parentId"
"Personal","Milestones","Book in new meeting with Dylan","TEXT","","","N","2024-10-15T13:00:00+0000","2024-10-15T13:00:00+0000","PT0S","","0","2","2024-10-15T06:32:12+0000","2024-10-15T13:04:59+0000","-15138817","Australia/Perth","false","false",,,"list","1",""
"Personal","Milestones","If Slack still shows wrong time zone, reach out to Dave for support","TEXT","","","N","2024-08-30T00:30:00+0000","2024-08-30T00:30:00+0000","PT0S","","0","2","2024-08-29T15:23:36+0000","2024-08-31T10:34:52+0000","-14090241","Australia/Perth","false","false",,,"list","2",""
"Personal","Milestones","Download old No Man's Sky saves, if possible","TEXT","gaming","","N","2024-07-25T09:00:00+0000","2024-07-25T09:00:00+0000","PT0S","","0","2","2024-07-25T07:40:16+0000","2024-07-26T03:18:06+0000","-13041665","Australia/Perth","false","false",,,"list","3",""
"Personal","Milestones","Google play games subscription - talk to mum","TEXT","","","N","2024-06-28T06:00:00+0000","2024-06-28T06:00:00+0000","PT0S","","0","2","2024-06-25T20:28:23+0000","2024-07-01T02:12:03+0000","-11993089","Europe/Warsaw","false","false",,,"list","4",""
"Personal","Milestones","Look into alternatives to unistellar and the actual citizen science they do","TEXT","Progress","","N","2024-08-05T16:00:00+0000","2024-08-05T16:00:00+0000","","","0","2","2024-06-25T17:03:32+0000","2024-08-13T05:10:03+0000","-10944513","Australia/Perth","true","false",,,"list","5",""
"Personal","Milestones","Feel better by getting some work done, scrooby chat with mum, figure out wishlist and make plans that we'll confirm after next payday. Also do nk12","TEXT","","","N","2024-06-28T06:00:00+0000","2024-06-28T06:00:00+0000","PT0S","","0","2","2024-06-24T21:06:44+0000","2024-06-30T17:29:44+0000","-9895937","Europe/Warsaw","false","false",,,"list","6",""
"Personal","Milestones","Setup goals for next few days","TEXT","","","N","2024-06-23T20:00:00+0000","2024-06-23T20:00:00+0000","PT0S","","0","2","2024-06-23T14:02:10+0000","2024-06-23T20:31:48+0000","-9830401","Europe/Warsaw","false","false",,,"list","7",""
"Personal","Milestones","R2d2 raspberry pi, supabase SAAS starter","TEXT","","","N","2024-06-08T22:00:00+0000","2024-06-08T22:00:00+0000","","","0","2","2024-06-09T17:15:28+0000","2024-06-09T21:07:39+0000","-7667713","Europe/Warsaw","true","false",,,"list","8",""
"Personal","Milestones","Unistellar","TEXT","Star-Sailors, Progress","Birthday present http://www.unistellar.com/envision/","N","2024-06-25T14:00:00+0000","2024-06-25T14:00:00+0000","PT0S","","0","2","2024-06-06T17:38:21+0000","2024-06-25T17:03:10+0000","-7602177","Europe/Warsaw","false","false",,,"list","9",""
"Personal","Milestones","New username, Gizmotronn, Scroobytronn, Gizmo, R2-D2, Perseverance, Prof, some mechanical process","TEXT","","","N","","","","","0","0","2024-06-06T12:52:51+0000","","-7536641","Australia/Perth","false","false",,,"list","10",""
"Personal","Milestones","Get some books on hold on Libby","TEXT","","","N","2024-06-05T20:00:00+0000","2024-06-05T20:00:00+0000","PT0S","","0","2","2024-06-05T18:22:45+0000","2024-06-05T20:47:18+0000","-6488065","Europe/Warsaw","false","false",,,"list","11",""
"Personal","Milestones","Plan out birthday weekend in Melbourne #","TEXT","","","N","2024-08-05T16:00:00+0000","2024-08-05T16:00:00+0000","","","0","2","2024-06-05T07:32:34+0000","2024-08-29T13:22:26+0000","-6422529","Australia/Perth","true","false",,,"list","12",""
